txtAuthor,txtBody_Clean,gd_counts,gd_average,liwc_counts,liwc_averge
maskedman,lmao you're right    i have an iphone 4 right now. I don't really care because no one texts me or calls me anyway. I only use it to get directions tbh,"Counter({'relationship': 1, 'loneliness': 1})",2,"Counter({'Function': 15, 'Pronoun': 5, 'FocusPresent': 5, 'Ppron': 4, 'Relativ': 4, 'Verb': 4, 'Adverb': 4, 'CogProc': 4, 'Informal': 3, 'Space': 3, 'I': 3, 'Affect': 2, 'Posemo': 2, 'Netspeak': 2, 'Social': 2, 'Differ': 2, 'Conj': 2, 'Cause': 2, 'Swear': 1, 'You': 1, 'Auxverb': 1, 'Article': 1, 'Time': 1, 'Negate': 1, 'Number': 1, 'Tentat': 1, 'Filler': 1, 'Ipron': 1, 'Prep': 1, 'Drives': 1, 'Reward': 1})",81
Of Manlets and Men,My old phone is the least of my problems. 6'3 Chad with an ancient phone or even a dumb (non-smartphone) would have no trouble slaying.,"Counter({'surveillance': 2, 'loneliness': 1, 'god': 1})",4,"Counter({'Function': 12, 'Verb': 4, 'Auxverb': 3, 'Article': 3, 'Adj': 3, 'Affect': 3, 'Negemo': 3, 'CogProc': 3, 'Relativ': 2, 'Time': 2, 'Social': 2, 'Percept': 2, 'Hear': 2, 'FocusPresent': 2, 'Prep': 2, 'Discrep': 2, 'Drives': 2, 'Risk': 2, 'Compare': 1, 'Quant': 1, 'Pronoun': 1, 'Ppron': 1, 'I': 1, 'Conj': 1, 'Tentat': 1, 'Differ': 1, 'Adverb': 1, 'Anger': 1, 'Informal': 1, 'Swear': 1, 'Negate': 1, 'Death': 1})",68
wizardcel,I bought mine in 2015. Foids have a lot of competition among themselves to see who has the best phone.,Counter({'surveillance': 2}),2,"Counter({'Function': 11, 'Verb': 4, 'Prep': 4, 'Pronoun': 3, 'FocusPresent': 3, 'Social': 3, 'Ppron': 2, 'Relativ': 2, 'Space': 2, 'Auxverb': 2, 'Article': 2, 'Drives': 2, 'Achieve': 2, 'Power': 2, 'Percept': 2, 'FocusPast': 1, 'Money': 1, 'I': 1, 'Quant': 1, 'CogProc': 1, 'Tentat': 1, 'Work': 1, 'They': 1, 'See': 1, 'Ipron': 1, 'Interrog': 1, 'Adj': 1, 'Compare': 1, 'Affect': 1, 'Posemo': 1, 'Reward': 1, 'Hear': 1})",63
LiterallyASoyboy,I've had the same iphone 4 for most of the 2010s.,Counter(),0,"Counter({'Function': 5, 'Article': 2, 'Adj': 2, 'Compare': 2, 'Prep': 2, 'Auxverb': 1, 'Verb': 1, 'FocusPast': 1, 'Quant': 1, 'CogProc': 1, 'Tentat': 1})",19
seija,"TheSecondComing said:                                    Phones are expensive as shit bro. Mine works just fine, no need to waste money on a new one            Click to expand...      This.  I use a samsung galaxy s4 I had since middle school.","Counter({'help': 1, 'loneliness': 1, 'honour': 1})",3,"Counter({'Function': 11, 'Verb': 6, 'Prep': 5, 'Relativ': 5, 'FocusPresent': 4, 'Adj': 4, 'CogProc': 3, 'Space': 3, 'Social': 2, 'FocusPast': 2, 'Auxverb': 2, 'Money': 2, 'Compare': 2, 'Affect': 2, 'Informal': 2, 'Drives': 2, 'Work': 2, 'Article': 2, 'Time': 2, 'Cause': 2, 'Percept': 1, 'Hear': 1, 'Conj': 1, 'Negemo': 1, 'Anger': 1, 'Bio': 1, 'Body': 1, 'Swear': 1, 'Family': 1, 'Male': 1, 'Affiliation': 1, 'Achieve': 1, 'Adverb': 1, 'Posemo': 1, 'Negate': 1, 'Discrep': 1, 'Number': 1})",82
Bernd,"Chad would be seen as unique and interesting if he had an old phone.    Feeling the urge to buy the newest phone for no reason other than it's newer usually coincides with high levels of soy. Or it's females who use consumerism as a surrogate for personality.  What do you need this shit for anyway. Except games (mobile gaming lel) most apps work on older models, you have GPS, you have a decent camera. That's it. Do you really want to spend $700 just to get facial recognition unlock or some new payment method that no store supports? People who wait in line at the Apple Store probably also get excited when they see a Rick and Morty pencil sharpener and be like le shut up and take my money xD                                    GeneticFilth said:                                    Android would be way more popular if girls could spend 30 minutes learning how to customize their phones. lmfao at blue bubbles, you can make the bubble be whatever the fuck you want on android. Samsung needs a different logo, not the ugly af samsung logo on the back.            Click to expand...      Too much work for them. They want to be spoonfed. They want to be told what to do. They want to be dominated.","Counter({'planning': 6, 'surveillance': 5, 'loneliness': 3, 'soldier': 2, 'help': 1, 'relationship': 1, 'suicide': 1, 'deadline': 1})",20,"Counter({'Function': 94, 'Verb': 37, 'FocusPresent': 32, 'CogProc': 28, 'Prep': 26, 'Relativ': 22, 'Pronoun': 21, 'Social': 21, 'Adj': 17, 'Auxverb': 16, 'Space': 13, 'Discrep': 12, 'Conj': 12, 'Article': 12, 'Compare': 11, 'Ppron': 11, 'Affect': 10, 'Time': 10, 'Ipron': 10, 'Drives': 10, 'Adverb': 9, 'Percept': 8, 'Differ': 8, 'Tentat': 7, 'Money': 7, 'Posemo': 6, 'Interrog': 6, 'Work': 6, 'You': 6, 'Informal': 6, 'FocusPast': 4, 'Hear': 4, 'Cause': 4, 'Negemo': 4, 'Anger': 4, 'Swear': 4, 'Quant': 4, 'Reward': 4, 'See': 3, 'Negate': 3, 'Insight': 3, 'Power': 3, 'Bio': 3, 'Netspeak': 3, 'Achieve': 3, 'They': 3, 'Female': 2, 'Body': 2, 'Leisure': 2, 'SheHe': 1, 'Male': 1, 'Filler': 1, 'Affiliation': 1, 'Feel': 1, 'I': 1, 'Sexual': 1})",563
acnescarcel,i have red iphone 7 that i got as a handmedown i hate wireless headphones so fuck airpods,"Counter({'threat': 1, 'violence': 1})",2,"Counter({'Function': 8, 'Pronoun': 4, 'Verb': 4, 'Ppron': 3, 'I': 3, 'FocusPresent': 3, 'Adj': 2, 'Conj': 2, 'Affect': 2, 'Negemo': 2, 'Anger': 2, 'Auxverb': 1, 'Percept': 1, 'See': 1, 'Ipron': 1, 'Drives': 1, 'Reward': 1, 'FocusPast': 1, 'Prep': 1, 'Compare': 1, 'Article': 1, 'Adverb': 1, 'Bio': 1, 'Sexual': 1, 'Informal': 1, 'Swear': 1})",50
Joelossus,"I don't care how normies see me, i hope they go blind after looking at my outdated android phone ngl.","Counter({'surveillance': 2, 'relationship': 1})",3,"Counter({'Function': 7, 'Verb': 5, 'FocusPresent': 4, 'Percept': 4, 'Pronoun': 4, 'Ppron': 4, 'See': 3, 'I': 3, 'Relativ': 3, 'Affect': 2, 'Posemo': 2, 'CogProc': 2, 'Social': 2, 'Prep': 2, 'Adverb': 1, 'Conj': 1, 'Interrog': 1, 'Cause': 1, 'Discrep': 1, 'Tentat': 1, 'FocusFuture': 1, 'They': 1, 'Motion': 1, 'Bio': 1, 'Health': 1, 'Adj': 1, 'Compare': 1, 'Time': 1, 'Space': 1, 'Hear': 1})",63
anon,"I've had my Note 3 since early 2014 and my dad gave it to me, he got the phone for free. It's beat up and the battery life is trash, but it still works and I might buy a 3rd party battery. I can see myself using this phone for another 5 years if I can find a decent battery for it. I barely use my phone nowadays. I only use it to browse the internet before bed.  I have a samsung tab s3 tablet from 2017 for general browsing when taking a shit and before bed.    I'd rather keep the $500-1000 and save up for another guitar.","Counter({'surveillance': 6, 'suicide': 1, 'soldier': 1, 'relationship': 1, 'help': 1})",10,"Counter({'Function': 52, 'Verb': 15, 'Pronoun': 13, 'Prep': 13, 'FocusPresent': 12, 'CogProc': 10, 'Relativ': 9, 'Conj': 8, 'Article': 8, 'Time': 7, 'Social': 7, 'Ipron': 7, 'Drives': 7, 'Auxverb': 6, 'Ppron': 6, 'I': 5, 'Adj': 5, 'Affect': 5, 'Adverb': 5, 'Cause': 4, 'Percept': 4, 'Posemo': 4, 'FocusPast': 3, 'Hear': 3, 'Power': 3, 'Differ': 3, 'Tentat': 3, 'Male': 2, 'Reward': 2, 'Money': 2, 'Achieve': 2, 'Space': 2, 'Bio': 2, 'Leisure': 2, 'Quant': 2, 'Discrep': 2, 'Compare': 2, 'Home': 2, 'Family': 1, 'SheHe': 1, 'Health': 1, 'Work': 1, 'FocusFuture': 1, 'Affiliation': 1, 'See': 1, 'Insight': 1, 'Interrog': 1, 'Negemo': 1, 'Anger': 1, 'Body': 1, 'Informal': 1, 'Swear': 1})",263
UKTroglodyte86,"Volcel if you don't have a current-gen Apple or high-end Samsung,  you're not even trying bro.    [Proud user of a Lumia 550 that had only one careful prior owner.]","Counter({'planning': 1, 'suicide': 1, 'loneliness': 1})",3,"Counter({'Function': 13, 'Drives': 5, 'CogProc': 4, 'Social': 4, 'Relativ': 4, 'Tentat': 3, 'Differ': 3, 'Pronoun': 3, 'Verb': 3, 'Time': 3, 'Conj': 2, 'Ppron': 2, 'You': 2, 'Auxverb': 2, 'FocusPresent': 2, 'Article': 2, 'Power': 2, 'Adverb': 2, 'FocusPast': 2, 'Discrep': 1, 'Adj': 1, 'Space': 1, 'Negate': 1, 'Achieve': 1, 'Family': 1, 'Male': 1, 'Affiliation': 1, 'Informal': 1, 'Prep': 1, 'Ipron': 1, 'Number': 1, 'Risk': 1})",76
tooth monster,"You don't need to spend thousands of dollars for 3GB+ of RAM, stupid.",Counter({'help': 1}),1,"Counter({'Function': 4, 'Prep': 4, 'Verb': 2, 'FocusPresent': 2, 'Money': 2, 'CogProc': 1, 'Discrep': 1, 'Number': 1, 'Adj': 1, 'Affect': 1, 'Negemo': 1, 'Anger': 1})",21
TheRealChincel,"I have a phone from 15 years ago, lol.",Counter({'surveillance': 1}),1,"Counter({'Function': 3, 'Relativ': 2, 'Time': 2, 'Auxverb': 1, 'Verb': 1, 'FocusPresent': 1, 'Article': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'Prep': 1, 'FocusPast': 1, 'Affect': 1, 'Posemo': 1, 'Informal': 1, 'Netspeak': 1})",20
ihaveno1,There are some ppl on this forum who dont even have a phone,Counter({'surveillance': 1}),1,"Counter({'Function': 8, 'Auxverb': 3, 'Verb': 3, 'FocusPresent': 3, 'Social': 3, 'Pronoun': 2, 'Ipron': 2, 'Quant': 1, 'CogProc': 1, 'Tentat': 1, 'Informal': 1, 'Netspeak': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1, 'Interrog': 1, 'Negate': 1, 'Adverb': 1, 'Article': 1, 'Percept': 1, 'Hear': 1})",38
Ugly_equals_Death,"Chad has no phone, girls walk up to him and ask him if they can know him better. Chad allways winns with and without phone. Just be chad.","Counter({'surveillance': 2, 'help': 1, 'loneliness': 1})",4,"Counter({'Function': 15, 'Social': 8, 'FocusPresent': 6, 'Verb': 5, 'Prep': 4, 'Pronoun': 4, 'Ppron': 4, 'Auxverb': 3, 'Drives': 3, 'SheHe': 3, 'Male': 3, 'Conj': 3, 'CogProc': 3, 'Negate': 2, 'Percept': 2, 'Hear': 2, 'Relativ': 2, 'Power': 2, 'Differ': 2, 'Affect': 2, 'Posemo': 2, 'Achieve': 2, 'Reward': 2, 'Female': 1, 'Motion': 1, 'Space': 1, 'Discrep': 1, 'Tentat': 1, 'They': 1, 'Insight': 1, 'Adj': 1, 'Compare': 1})",93
Incline,I got some 40 dollar phone lmao.,Counter({'surveillance': 1}),1,"Counter({'Verb': 1, 'Drives': 1, 'Reward': 1, 'FocusPast': 1, 'Quant': 1, 'CogProc': 1, 'Tentat': 1, 'Money': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'Affect': 1, 'Posemo': 1, 'Informal': 1, 'Swear': 1, 'Netspeak': 1})",16
FrustratedWhiteMale,"My mother bought my phone in 1973  Yes, 1973.  She was only in her 40's at that time.","Counter({'relationship': 1, 'surveillance': 1, 'planning': 1})",3,"Counter({'Function': 8, 'Relativ': 4, 'Social': 3, 'Pronoun': 3, 'Prep': 3, 'Space': 3, 'Female': 2, 'Verb': 2, 'FocusPast': 2, 'Ppron': 2, 'Family': 1, 'Money': 1, 'I': 1, 'Percept': 1, 'Hear': 1, 'Auxverb': 1, 'Adverb': 1, 'SheHe': 1, 'Ipron': 1, 'Time': 1})",42
Reimu Hakurei,Mine is from 2010. I'll use it until it stops working.,Counter(),0,"Counter({'Function': 5, 'Verb': 3, 'FocusPresent': 2, 'Prep': 2, 'Pronoun': 2, 'Ipron': 2, 'Relativ': 2, 'Time': 2, 'Drives': 2, 'Auxverb': 1, 'CogProc': 1, 'Cause': 1, 'Conj': 1, 'Risk': 1, 'Achieve': 1, 'Work': 1})",29
Dionysus,I don't give a fuck about social status. I won't waste my money on phones,Counter({'relationship': 1}),1,"Counter({'Function': 4, 'Verb': 3, 'Social': 3, 'Drives': 3, 'FocusPresent': 2, 'Affect': 2, 'Prep': 2, 'Article': 1, 'Negemo': 1, 'Anger': 1, 'Bio': 1, 'Sexual': 1, 'Informal': 1, 'Swear': 1, 'Adverb': 1, 'Affiliation': 1, 'Power': 1, 'Posemo': 1, 'Achieve': 1, 'Reward': 1, 'FocusPast': 1, 'Pronoun': 1, 'Ppron': 1, 'I': 1, 'Money': 1, 'Relativ': 1, 'Space': 1, 'Percept': 1, 'Hear': 1})",41
mybodyisrotting,"Smartphones are nice, but I don't trust them. I still use a 15 year old Nokia for my main number, though I also have a mid-tier chinkphone for entertainment purposes.","Counter({'help': 1, 'relationship': 1, 'loneliness': 1})",3,"Counter({'Function': 12, 'FocusPresent': 4, 'CogProc': 4, 'Relativ': 4, 'Verb': 3, 'Affect': 3, 'Posemo': 3, 'Conj': 3, 'Adverb': 3, 'Time': 3, 'Auxverb': 2, 'Differ': 2, 'Social': 2, 'Drives': 2, 'Pronoun': 2, 'Ppron': 2, 'Cause': 2, 'Article': 2, 'Prep': 2, 'Adj': 1, 'Risk': 1, 'They': 1, 'I': 1, 'Space': 1, 'Leisure': 1, 'Achieve': 1})",67
Matt00000007,"mybodyisrotting said:                                    Smartphones are nice, but I don't trust them. I still use a 15 year old Nokia for my main number, though I also have a mid-tier chinkphone for entertainment purposes.            Click to expand...      Lol that's good, is it 3310? Nokia phones are great, and old phones in general.","Counter({'loneliness': 2, 'help': 1, 'relationship': 1, 'honour': 1, 'soldier': 1})",6,"Counter({'Function': 19, 'Relativ': 7, 'Verb': 6, 'FocusPresent': 6, 'Social': 5, 'Affect': 5, 'Posemo': 5, 'Auxverb': 4, 'Conj': 4, 'CogProc': 4, 'Drives': 4, 'Pronoun': 4, 'Time': 4, 'Prep': 4, 'Percept': 3, 'Hear': 3, 'Adj': 3, 'Adverb': 3, 'Space': 3, 'Differ': 2, 'Ppron': 2, 'Cause': 2, 'Article': 2, 'Ipron': 2, 'Reward': 2, 'FocusPast': 1, 'Risk': 1, 'They': 1, 'I': 1, 'Leisure': 1, 'Achieve': 1})",114
mybodyisrotting,"Matt00000007 said:                                    Lol that's good, is it 3310? Nokia phones are great, and old phones in general.            Click to expand...      I'm too paranoid to specify the model tbh   It's pretty much unbreakable, never even had to replace the battery (it only holds charge for like 5-7 days now though)","Counter({'honour': 1, 'loneliness': 1, 'soldier': 1, 'surveillance': 1, 'planning': 1, 'relationship': 1})",6,"Counter({'Function': 21, 'Relativ': 7, 'Prep': 6, 'Adverb': 6, 'Verb': 4, 'Affect': 4, 'Time': 4, 'Social': 3, 'Percept': 3, 'Hear': 3, 'Pronoun': 3, 'Ipron': 3, 'Posemo': 3, 'Auxverb': 3, 'FocusPresent': 3, 'CogProc': 3, 'FocusPast': 2, 'Drives': 2, 'Reward': 2, 'Adj': 2, 'Conj': 2, 'Space': 2, 'Article': 2, 'Negemo': 1, 'Anx': 1, 'Informal': 1, 'Netspeak': 1, 'Tentat': 1, 'Quant': 1, 'Negate': 1, 'Certain': 1, 'Motion': 1, 'Compare': 1, 'Differ': 1})",104
Matt00000007,"mybodyisrotting said:                                    I'm too paranoid to specify the model tbh   It's pretty much unbreakable, never even had to replace the battery (it only holds charge for like 5-7 days now though)            Click to expand...      Old Nokia phones are great, unbreakable, hard to trace them and great battery life.","Counter({'surveillance': 2, 'planning': 1, 'relationship': 1, 'suicide': 1})",5,"Counter({'Function': 19, 'Adverb': 6, 'Prep': 6, 'Relativ': 5, 'Affect': 4, 'Verb': 3, 'Social': 3, 'Percept': 3, 'Posemo': 3, 'CogProc': 3, 'Time': 3, 'Adj': 3, 'Hear': 2, 'FocusPast': 2, 'Article': 2, 'Auxverb': 2, 'Pronoun': 2, 'FocusPresent': 2, 'Conj': 2, 'Drives': 2, 'Reward': 2, 'Negemo': 1, 'Anx': 1, 'Informal': 1, 'Netspeak': 1, 'Tentat': 1, 'Quant': 1, 'Negate': 1, 'Certain': 1, 'Motion': 1, 'Ipron': 1, 'Compare': 1, 'Differ': 1, 'Space': 1, 'Feel': 1, 'Ppron': 1, 'They': 1, 'Bio': 1, 'Health': 1})",97
VincentVanCope,...white men with darker features!    Tanned brown haired white chads GTFIH. JFL.,Counter(),0,"Counter({'Adj': 4, 'Percept': 4, 'See': 4, 'Social': 1, 'Male': 1, 'Function': 1, 'Prep': 1, 'Compare': 1})",17
Doug,"Tanned White man, or half latinos",Counter(),0,"Counter({'Social': 1, 'Male': 1, 'Function': 1, 'Conj': 1, 'CogProc': 1, 'Tentat': 1, 'Differ': 1, 'Number': 1})",8
Napoleon de Geso,Femoids prefer a lot of things who are not me,Counter(),0,"Counter({'Function': 7, 'CogProc': 3, 'Pronoun': 3, 'Ipron': 2, 'Insight': 1, 'Discrep': 1, 'Article': 1, 'Quant': 1, 'Tentat': 1, 'Prep': 1, 'Interrog': 1, 'Social': 1, 'Auxverb': 1, 'Verb': 1, 'FocusPresent': 1, 'Negate': 1, 'Differ': 1, 'Ppron': 1, 'I': 1})",30
angrycurrycel,"Of course, not curries. And of course, they are talking about white men. When they say dark, they mean white man with dark hair. So this isnt lifefuel at all",Counter({'suicide': 2}),2,"Counter({'Function': 11, 'Social': 7, 'Verb': 5, 'Percept': 5, 'CogProc': 4, 'Prep': 4, 'Pronoun': 4, 'FocusPresent': 4, 'See': 4, 'Ppron': 3, 'They': 3, 'Adj': 3, 'Work': 2, 'Negate': 2, 'Differ': 2, 'Auxverb': 2, 'Male': 2, 'Adverb': 1, 'Hear': 1, 'Insight': 1, 'Ipron': 1, 'Relativ': 1, 'Space': 1, 'Quant': 1, 'Certain': 1})",75
SoyUnPerdedor,latin lover theory,Counter({'relationship': 1}),1,"Counter({'Affect': 1, 'Posemo': 1, 'Social': 1, 'Friend': 1, 'Bio': 1, 'Sexual': 1, 'Drives': 1, 'Affiliation': 1, 'CogProc': 1, 'Tentat': 1})",10
ReallyRice,BBCspammers will take the headline out of context.,"Counter({'suicide': 1, 'planning': 1})",2,"Counter({'Function': 4, 'Verb': 2, 'Prep': 2, 'Auxverb': 1, 'FocusFuture': 1, 'Drives': 1, 'Reward': 1, 'FocusPresent': 1, 'Article': 1, 'Relativ': 1, 'Space': 1})",16
Algeriancel,tanned white CHADS... Now I know that myself included don't happen to fit the truecel label. But how many fakecels and chads lurk this place?,Counter(),0,"Counter({'Function': 7, 'Pronoun': 3, 'Verb': 2, 'CogProc': 2, 'FocusPresent': 2, 'Ipron': 2, 'Relativ': 2, 'Space': 2, 'Conj': 2, 'Adj': 1, 'Percept': 1, 'See': 1, 'Insight': 1, 'Ppron': 1, 'I': 1, 'FocusPast': 1, 'Prep': 1, 'Article': 1, 'Adverb': 1, 'Interrog': 1, 'Cause': 1, 'Quant': 1})",37
FinnCel,In Finland women have this saying:  Mies oli pitkä ja tumma    Or in English:  The man was tall and dark,Counter({'suicide': 1}),1,"Counter({'Function': 5, 'Social': 3, 'Verb': 3, 'Auxverb': 2, 'Percept': 2, 'Relativ': 2, 'Space': 2, 'Female': 1, 'FocusPresent': 1, 'Pronoun': 1, 'Ipron': 1, 'Hear': 1, 'Prep': 1, 'Male': 1, 'FocusPast': 1, 'Adj': 1, 'Conj': 1, 'See': 1})",30
wereqryan,Doug said:                                    Tanned White man            Click to expand...      not dark ethnics..    JFL@these copers.,Counter({'suicide': 1}),1,"Counter({'Function': 3, 'Social': 2, 'Percept': 2, 'Verb': 1, 'Hear': 1, 'FocusPast': 1, 'Male': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1, 'Negate': 1, 'CogProc': 1, 'Differ': 1, 'See': 1, 'Pronoun': 1, 'Ipron': 1})",20
Sparrow's Song,If foids want white dudes with dark features... White foids are going to have to fuck some sandcels...,"Counter({'planning': 1, 'suicide': 1})",2,"Counter({'Verb': 5, 'Function': 5, 'FocusPresent': 4, 'Prep': 3, 'CogProc': 2, 'Percept': 2, 'See': 2, 'Informal': 2, 'Auxverb': 2, 'Discrep': 1, 'Adj': 1, 'Social': 1, 'Friend': 1, 'FocusFuture': 1, 'Relativ': 1, 'Motion': 1, 'Affect': 1, 'Negemo': 1, 'Anger': 1, 'Bio': 1, 'Sexual': 1, 'Swear': 1, 'Quant': 1, 'Tentat': 1})",42
ScornedStoic,Napoleon de Geso said:                                    Femoids prefer a lot of things who are not me            Click to expand...,Counter(),0,"Counter({'Function': 8, 'CogProc': 3, 'Pronoun': 3, 'Verb': 2, 'Social': 2, 'Prep': 2, 'Ipron': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Insight': 1, 'Discrep': 1, 'Article': 1, 'Quant': 1, 'Tentat': 1, 'Interrog': 1, 'Auxverb': 1, 'FocusPresent': 1, 'Negate': 1, 'Differ': 1, 'Ppron': 1, 'I': 1, 'Relativ': 1, 'Space': 1})",39
Cybersex is our hope,Sparrow's Song said:                                    View attachment 109149  If foids want white dudes with dark features... White foids are going to have to fuck some sandcels...            Click to expand...      Just be berber theory,"Counter({'planning': 1, 'suicide': 1})",2,"Counter({'Verb': 7, 'Function': 7, 'FocusPresent': 5, 'Prep': 4, 'Percept': 3, 'CogProc': 3, 'Auxverb': 3, 'Social': 2, 'See': 2, 'Informal': 2, 'Relativ': 2, 'Tentat': 2, 'Hear': 1, 'FocusPast': 1, 'Discrep': 1, 'Adj': 1, 'Friend': 1, 'FocusFuture': 1, 'Motion': 1, 'Affect': 1, 'Negemo': 1, 'Anger': 1, 'Bio': 1, 'Sexual': 1, 'Swear': 1, 'Quant': 1, 'Space': 1})",57
gnomen1,Tall and dark are both dimorphic traits. So it makes perfect sense.,Counter({'suicide': 1}),1,"Counter({'Function': 3, 'FocusPresent': 3, 'CogProc': 3, 'Percept': 2, 'Verb': 2, 'Conj': 1, 'See': 1, 'Auxverb': 1, 'Quant': 1, 'Relativ': 1, 'Space': 1, 'Pronoun': 1, 'Ipron': 1, 'Cause': 1, 'Adj': 1, 'Affect': 1, 'Posemo': 1, 'Certain': 1, 'Drives': 1, 'Reward': 1, 'Insight': 1})",29
angrycurrycel,wereqryan said:                                    not dark ethnics..    JFL@these copers.            Click to expand...      Exactly this. Foids don’t even want light skinned curries                                  gnomen1 said:                                    Tall and dark are both dimorphic traits. So it makes perfect sense.            Click to expand...      Dark=dark hair,"Counter({'suicide': 3, 'planning': 1})",4,"Counter({'Function': 9, 'Percept': 7, 'Verb': 5, 'CogProc': 5, 'See': 4, 'FocusPresent': 4, 'Pronoun': 3, 'Ipron': 3, 'Relativ': 3, 'Space': 3, 'Social': 2, 'Hear': 2, 'FocusPast': 2, 'Prep': 2, 'Negate': 1, 'Differ': 1, 'Adverb': 1, 'Discrep': 1, 'Conj': 1, 'Auxverb': 1, 'Quant': 1, 'Cause': 1, 'Adj': 1, 'Affect': 1, 'Posemo': 1, 'Certain': 1, 'Drives': 1, 'Reward': 1, 'Insight': 1})",69
Sparrow's Song,Cybersex is our hope said:                                    Just be berber theory            Click to expand...      Just don't be a dark featured white guy that looks like he was melted in the microwave...,"Counter({'suicide': 1, 'relationship': 1})",2,"Counter({'Function': 12, 'Verb': 7, 'FocusPresent': 5, 'Auxverb': 4, 'Social': 4, 'Percept': 4, 'Pronoun': 3, 'Prep': 3, 'See': 3, 'Ppron': 2, 'CogProc': 2, 'Tentat': 2, 'FocusPast': 2, 'Relativ': 2, 'Space': 2, 'Article': 2, 'Male': 2, 'We': 1, 'Drives': 1, 'Affiliation': 1, 'Affect': 1, 'Posemo': 1, 'Discrep': 1, 'FocusFuture': 1, 'Hear': 1, 'Adj': 1, 'Friend': 1, 'Ipron': 1, 'Compare': 1, 'SheHe': 1, 'Home': 1})",75
Cybersex is our hope,Sparrow's Song said:                                    Just don't be a dark featured white guy that looks like he was melted in the microwave...            Click to expand...      Black feature + white skin= a Jew basically,"Counter({'suicide': 1, 'relationship': 1})",2,"Counter({'Function': 11, 'Percept': 6, 'Verb': 4, 'See': 4, 'Social': 3, 'Article': 3, 'Prep': 3, 'FocusPast': 2, 'Auxverb': 2, 'FocusPresent': 2, 'Adj': 2, 'Male': 2, 'Pronoun': 2, 'Relativ': 2, 'Space': 2, 'Hear': 1, 'Friend': 1, 'Ipron': 1, 'Compare': 1, 'Ppron': 1, 'SheHe': 1, 'Home': 1, 'Feel': 1, 'Bio': 1, 'Body': 1, 'Adverb': 1})",61
Joelossus,"Well at least i got dark hair, now i just need to get a tan and i will be ready to ascend ngl.","Counter({'suicide': 1, 'help': 1})",2,"Counter({'Function': 12, 'Verb': 5, 'FocusPresent': 4, 'Prep': 3, 'Pronoun': 3, 'Ppron': 3, 'I': 3, 'Relativ': 2, 'Drives': 2, 'Reward': 2, 'Adverb': 2, 'Auxverb': 2, 'Space': 1, 'Adj': 1, 'Compare': 1, 'Quant': 1, 'FocusPast': 1, 'Percept': 1, 'See': 1, 'Time': 1, 'CogProc': 1, 'Discrep': 1, 'Article': 1, 'Conj': 1, 'FocusFuture': 1, 'Affect': 1, 'Posemo': 1})",58
Sparrow's Song,Cybersex is our hope said:                                    Black feature + white skin= a Jew basically            Click to expand...      A lot of Jews I've seen have light brown hair and look like low tier Germanics.,"Counter({'surveillance': 2, 'relationship': 1, 'loneliness': 1})",4,"Counter({'Function': 9, 'Percept': 7, 'Verb': 6, 'See': 5, 'FocusPresent': 4, 'Prep': 3, 'Auxverb': 2, 'Social': 2, 'Drives': 2, 'Affect': 2, 'CogProc': 2, 'Tentat': 2, 'FocusPast': 2, 'Adj': 2, 'Relativ': 2, 'Space': 2, 'Pronoun': 1, 'Ppron': 1, 'We': 1, 'Affiliation': 1, 'Posemo': 1, 'Discrep': 1, 'FocusFuture': 1, 'Hear': 1, 'Feel': 1, 'Bio': 1, 'Body': 1, 'Article': 1, 'Adverb': 1, 'Quant': 1, 'Conj': 1, 'Compare': 1, 'Negemo': 1, 'Sad': 1, 'Power': 1})",73
SaintElliotreeeee,"they want the good things (dark skin tone) of a Mediterranean man with none of the bad. (big nose, short, brown bug eyes etc)    Women literally think choosing a man is like the Create-A-Wrestler option in wwe video games where you can make each individual feature exactly how you want.","Counter({'planning': 3, 'honour': 1, 'suicide': 1, 'violence': 1, 'relationship': 1, 'surveillance': 1, 'deadline': 1})",9,"Counter({'Function': 19, 'CogProc': 8, 'Social': 7, 'Verb': 6, 'FocusPresent': 6, 'Percept': 6, 'Article': 5, 'Prep': 5, 'Pronoun': 4, 'Drives': 4, 'See': 4, 'Relativ': 4, 'Space': 4, 'Ppron': 3, 'Bio': 3, 'Body': 3, 'Adj': 3, 'Discrep': 2, 'Affect': 2, 'Male': 2, 'Quant': 2, 'Insight': 2, 'Auxverb': 2, 'Leisure': 2, 'Adverb': 2, 'Interrog': 2, 'You': 2, 'Cause': 2, 'They': 1, 'Posemo': 1, 'Reward': 1, 'Ipron': 1, 'Feel': 1, 'Negate': 1, 'Negemo': 1, 'Risk': 1, 'Power': 1, 'Compare': 1, 'Tentat': 1, 'Affiliation': 1, 'Certain': 1, 'Conj': 1})",130
